Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.45   1193.23     6.60 90062319     0.00     0.00  MSG_ReadBits
  0.42   1199.38     6.16 129667966     0.00     0.00  R_CullPointAndRadius
  0.41   1205.29     5.91 51499690     0.00     0.00  RB_CalcTransformTexCoords
  0.40   1211.17     5.88   874353     0.00     0.00  CL_WritePacket
  0.39   1216.85     5.68 168284641     0.00     0.00  RB_IterateStagesGeneric
  0.39   1222.52     5.67 209917223     0.00     0.00  R_RotateForEntity
  0.35   1227.53     5.01 58479876     0.00     0.00  RB_AddQuadStampExt
  0.34   1232.52     4.99  3541125     0.00     0.00  R_AddEntitySurfaces
  0.34   1237.48     4.96   874353     0.00     0.00  Netchan_Transmit
  0.34   1242.38     4.90  5388270     0.00     0.00  FillCloudySkySide
  0.33   1247.14     4.76 106236458     0.00     0.00  R_AddMD3Surfaces
  0.30   1251.56     4.42 43551706     0.00     0.00  AddSkyPolygon
  0.30   1255.90     4.35   874503     0.00     0.00  Sys_SendPacket
  0.29   1260.12     4.22  1790224     0.00     0.00  VM_Call
  0.28   1264.20     4.08 16606802     0.00     0.00  RB_CalcScaleTexCoords
  0.27   1268.17     3.97  3116732     0.00     0.00  RB_SurfaceTriangles
  0.27   1272.13     3.96 106236458     0.00     0.00  R_CullModel
  0.26   1275.92     3.79   874503     0.00     0.00  NET_SendPacket
  0.25   1279.52     3.60 534869353     0.00     0.00  RE_StretchPic
  0.23   1282.87     3.35 685604085     0.00     0.00  R_GetCommandBuffer
  0.23   1286.16     3.29  1790224     0.00     0.00  VM_CallCompiled
  0.21   1289.20     3.04  3890964     0.00     0.00  RB_CalcDeformVertexes
  0.20   1292.07     2.87 3336122607     0.00     0.00  VM_ArgPtr
  0.20   1294.92     2.86 614648203     0.00     0.00  SkipWhitespace
  0.19   1297.73     2.81 106236458     0.00     0.00  R_ComputeLOD
  0.19   1300.52     2.79 40439915     0.00     0.00  R_SetupEntityLighting
  0.19   1303.28     2.76   948950     0.00     0.00  MSG_WriteData
  0.18   1305.90     2.63 29842524     0.00     0.00  CM_TraceThroughPatchCollide
  0.18   1308.49     2.59  1314824     0.00     0.00  FillCloudBox
  0.18   1311.06     2.57 733149303     0.00     0.00  Q_isnan
  0.18   1313.63     2.57  1779631     0.00     0.00  MSG_WriteDeltaUsercmdKey
  0.17   1316.16     2.53 11896984     0.00     0.00  MSG_WriteDeltaKey
  0.17   1318.64     2.48 22455910     0.00     0.00  CM_TraceThroughBrush
  0.17   1321.10     2.47 256233929     0.00     0.00  GL_Bind
  0.16   1323.40     2.30 168284641     0.00     0.00  RB_StageIteratorGeneric
  0.16   1325.68     2.28 545394092     0.00     0.00  R_AddDrawSurf
  0.15   1327.85     2.18 349987799     0.00     0.00  CM_CheckFacetPlane
  0.15   1329.97     2.12 159808901     0.00     0.00  RE_AddRefEntityToScene
  0.14   1332.07     2.10 222844171     0.00     0.00  GL_State
  0.14   1334.14     2.08   892287     0.00     0.00  CL_SetCGameTime
  0.14   1336.15     2.01 114501720     0.00     0.00  Huff_getBit
  0.14   1338.14     1.99 24190752     0.00     0.00  Q_stricmpn
  0.13   1340.09     1.95   874353     0.00     0.00  CL_Netchan_Transmit
  0.13   1342.03     1.94   892731     0.00     0.00  RE_BeginFrame
  0.13   1343.94     1.91 18719005     0.00     0.00  SkipBracedSection
  0.12   1345.68     1.74 49695519     0.00     0.00  RadiusFromBounds
  0.12   1347.39     1.71      331     0.01     0.01  Huff_transmit
  0.11   1349.02     1.63  1784582     0.00     0.00  Cbuf_Execute
  0.11   1350.63     1.62    46133     0.00     0.00  Cmd_ExecuteString
  0.11   1352.24     1.61 123902703     0.00     0.00  CM_TempBoxModel
  0.11   1353.85     1.61  7237575     0.00     0.00  RB_CalcScrollTexCoords
  0.11   1355.44     1.59 215241675     0.00     0.00  R_DrawElements
  0.11   1357.03     1.59 1473723099     0.00     0.00  VM_BlockCopy
  0.11   1358.59     1.56 415171935     0.00     0.00  CM_BoundsIntersect
  0.11   1360.13     1.55 123836018     0.00     0.00  VectorNormalize
  0.11   1361.67     1.54 253840172     0.00     0.00  R_BindAnimatedImage
  0.10   1363.19     1.52     5659     0.00     0.00  R_LoadTGA
  0.10   1364.59     1.40 154441732     0.00     0.00  R_DecomposeSort
  0.09   1365.95     1.36   268651     0.00     0.00  NET_GetPacket
  0.09   1367.29     1.34   889825     0.00     0.00  Sys_IsLANAddress
  0.09   1368.60     1.31   892731     0.00     0.00  SCR_DrawScreenField
  0.09   1369.90     1.30 41158886     0.00     0.00  RB_CalcRotateTexCoords
  0.09   1371.18     1.29  3242443     0.00     0.00  MSG_ReadLong
  0.09   1372.45     1.27   884333     0.00     0.00  R_MarkLeaves
  0.09   1373.71     1.26 38106051     0.00     0.00  VectorNormalize2
  0.08   1374.93     1.22   568796     0.00     0.00  DrawSkyBox
  0.08   1376.14     1.22   890572     0.00     0.00  CL_ReadyToSendPacket
  0.08   1377.35     1.21   890229     0.00     0.00  CL_CmdButtons
  0.08   1378.52     1.17 136941306     0.00     0.00  VectorLength
  0.08   1379.68     1.16 444118954     0.00     0.00  FloatAsInt
  0.08   1380.78     1.10   300123     0.00     0.00  DoRailDiscs
  0.08   1381.88     1.10    44092     0.00     0.00  crc32_little
  0.08   1382.98     1.10 589264761     0.00     0.00  R_GetShaderByHandle
  0.08   1384.08     1.10   880058     0.00     0.00  NetadrToSockadr
  0.08   1385.17     1.09 169059765     0.00     0.00  RB_EndSurface
  0.07   1386.23     1.07   892287     0.00     0.00  CL_Frame
  0.07   1387.28     1.05 104603051     0.00     0.00  R_LocalPointToWorld
  0.07   1388.33     1.05 13611189     0.00     0.00  RB_CalcWaveColor
  0.07   1389.37     1.04 49695519     0.00     0.00  ProjectRadius
  0.07   1390.40     1.03 146300876     0.00     0.00  RB_SetColor
  0.07   1391.42     1.03                             MSG_Copy
  0.07   1392.42     1.00    70195     0.00     0.00  Cmd_TokenizeString2
  0.07   1393.41     0.99 146300876     0.00     0.00  RE_SetColor
  0.06   1394.33     0.92  8902290     0.00     0.00  CL_KeyState
  0.06   1395.22     0.89 30153986     0.00     0.00  EvalWaveForm
  0.06   1396.08     0.86  1176582     0.00     0.00  RB_CalcTurbulentTexCoords
  0.06   1396.93     0.85                             Q_VMftol
  0.06   1397.76     0.83  6413062     0.00     0.00  RB_CalcWaveAlpha
  0.06   1398.58     0.82   892288     0.00     0.00  S_AL_SrcUpdate
  0.05   1399.37     0.79   890229     0.00     0.00  CL_MouseMove
  0.05   1400.13     0.76 1135154716     0.00     0.00  Sys_Milliseconds
  0.05   1400.88     0.75                             MSG_ReadDeltaFloat
  0.05   1401.58     0.70 51161147     0.00     0.00  RB_SurfaceSprite
  0.05   1402.28     0.70  2383640     0.00     0.00  DrawSkySide
  0.05   1402.96     0.68       15     0.05     0.05  Sys_DefaultHomePath
  0.04   1403.61     0.65 24584301     0.00     0.00  S_AL_ScaleGain
  0.04   1404.25     0.64 168284641     0.00     0.00  RB_DeformTessGeometry
  0.04   1404.89     0.64   892287     0.00     0.00  CL_CheckForResend
  0.04   1405.52     0.63       25     0.03     0.03  CL_FirstSnapshot
  0.04   1406.14     0.63  3572009     0.00     0.00  MSG_WriteLong
  0.04   1406.76     0.62  2393665     0.00     0.00  MSG_ReadDeltaEntity
  0.04   1407.38     0.62 14095549     0.00     0.00  CM_PointLeafnum_r
  0.04   1408.00     0.62   892289     0.00     0.00  IN_ProcessEvents
  0.04   1408.62     0.62                             ErrJump
  0.04   1409.23     0.61   892289     0.00     0.00  Com_Frame
  0.04   1409.83     0.60   892288     0.00     0.00  SV_Frame
  0.04   1410.41     0.59 104603051     0.00     0.00  R_CullLocalPointAndRadius
  0.04   1410.99     0.58    26364     0.00     0.00  R_MipMap
  0.04   1411.56     0.57   892731     0.00     0.00  SCR_UpdateScreen
  0.04   1412.12     0.56 25064915     0.00     0.00  R_CullGrid
  0.04   1412.68     0.56 14191524     0.00     0.00  SetPlaneSignbits
  0.04   1413.24     0.56 38598497     0.00     0.00  DrawMultitextured
  0.04   1413.76     0.53  3569176     0.00     0.00  NET_GetLoopPacket
  0.04   1414.29     0.53  1807367     0.00     0.00  CON_Input
  0.04   1414.81     0.52   884333     0.00     0.00  R_PointInLeaf
  0.04   1415.32     0.52    43943     0.00     0.00  CL_ParseBinding
  0.03   1415.82     0.50 42993499     0.00     0.00  R_ComputeFogNum
  0.03   1416.32     0.50    74374     0.00     0.00  IN_IsConsoleKey
  0.03   1416.80     0.48   890229     0.00     0.00  CL_CreateCmd
  0.03   1417.27     0.47 138303206     0.00     0.00  R_GetModelByHandle
  0.03   1417.74     0.47   890572     0.00     0.00  CL_CreateNewCommands
  0.03   1418.20     0.46   793891     0.00     0.00  VectorCross
  0.03   1418.65     0.45  2485856     0.00     0.00  Com_GetSystemEvent
  0.03   1419.10     0.45   892287     0.00     0.00  NET_FlushPacketQueue
  0.03   1419.54     0.45   892287     0.00     0.00  CL_SendCmd
  0.03   1419.98     0.44 20154435     0.00     0.00  LodErrorForVolume
  0.03   1420.42     0.44 27610569     0.00     0.00  R_LerpTag
  0.03   1420.85     0.43   133930     0.00     0.00  CL_Netchan_Decode
  0.03   1421.28     0.43     3677     0.00     0.00  R_LoadJPG
  0.03   1421.71     0.43  2927592     0.00     0.00  MSG_Init
  0.03   1422.12     0.42       12     0.03     0.25  CL_InitDownloads
  0.03   1422.53     0.41   890229     0.00     0.00  CL_KeyMove
  0.03   1422.92     0.39  3541125     0.00     0.00  R_SetFarClip
  0.03   1423.31     0.39   164589     0.00     0.00  inflate_table
  0.03   1423.69     0.38  1784588     0.00     0.00  Com_EventLoop
  0.03   1424.07     0.38  3505952     0.00     0.00  VectorArrayNormalize
  0.03   1424.45     0.38   892287     0.00     0.00  Com_ModifyMsec
  0.03   1424.82     0.37  3541125     0.00     0.00  R_AddDrawSurfCmd
  0.03   1425.19     0.37   890229     0.00     0.00  CL_FinishMove
  0.03   1425.56     0.37  1295236     0.00     0.00  FS_PakIsPure
  0.03   1425.93     0.37                             Netchan_TransmitNextFragment
  0.03   1426.29     0.37    85919     0.00     0.00  MSG_ReadShort
  0.02   1426.65     0.36  3541125     0.00     0.00  R_SetupFrustum
  0.02   1427.01     0.36   890265     0.00     0.00  CL_CGameRendering
  0.02   1427.36     0.35   890229     0.00     0.00  CL_AdjustAngles
  0.02   1427.70     0.34  3541125     0.00     0.00  RE_RenderScene
  0.02   1428.04     0.34   874353     0.00     0.00  MSG_WriteShort
  0.02   1428.37     0.33  1425993     0.00     0.00  jpeg_idct_islow
  0.02   1428.70     0.33   874353     0.00     0.00  CL_Netchan_TransmitNextFragment
  0.02   1429.02     0.32 12973619     0.00     0.00  CL_ScaledMilliseconds
  0.02   1429.33     0.31  1017722     0.00     0.00  RB_ClipSkyPolygons
  0.02   1429.64     0.31  2670687     0.00     0.00  ClampChar
  0.02   1429.94     0.30  3375030     0.00     0.00  FS_HashFileName
  0.02   1430.23     0.30   892287     0.00     0.00  CL_CheckTimeout
  0.02   1430.52     0.29 110571778     0.00     0.00  Hex
  0.02   1430.80     0.28                             frame_dummy
  0.02   1431.08     0.28 168284641     0.00     0.00  GL_Cull
  0.02   1431.35     0.27   441829     0.00     0.00  decode_mcu
  0.02   1431.62     0.27     5093     0.00     0.00  Upload32
  0.02   1431.88     0.27                             _curl_easy_getinfo_err_curl_off_t
  0.02   1432.13     0.25 55221138     0.00     0.00  R_GetTag
  0.02   1432.38     0.25  3541125     0.00     0.00  RB_BeginDrawingView
  0.02   1432.63     0.25  2485856     0.00     0.00  Com_GetRealEvent
  0.02   1432.88     0.25   629756     0.00     0.00  S_AL_SrcAlloc
  0.02   1433.13     0.25                             R_DlightSurface
  0.02   1433.38     0.25 84574200     0.00     0.00  _S_AL_SanitiseVector
  0.02   1433.62     0.25  1807367     0.00     0.00  Sys_ConsoleInput
  0.02   1433.86     0.24 211406822     0.00     0.00  CM_TestInLeaf
  0.02   1434.10     0.24  3492575     0.00     0.00  RB_SetGL2D
  0.02   1434.34     0.24  3541125     0.00     0.00  R_SetupProjection
  0.02   1434.57     0.23 58479876     0.00     0.00  RB_AddQuadStamp
  0.02   1434.80     0.23  2463077     0.00     0.00  Com_GetEvent
  0.02   1435.03     0.23   268090     0.00     0.00  jpeg_idct_16x16
  0.02   1435.25     0.23 115105152     0.00     0.00  S_AL_StreamUpdate
  0.02   1435.47     0.22   134279     0.00     0.00  Netchan_Process
  0.02   1435.69     0.22  3541125     0.00     0.00  R_SortDrawSurfs
  0.01   1435.91     0.22   889845     0.00     0.00  S_AL_ClearLoopingSounds
  0.01   1436.12     0.21  3541125     0.00     0.00  RB_DrawSurfs
  0.01   1436.32     0.20        1     0.20     0.20  Com_InitJournaling
  0.01   1436.51     0.20   892287     0.00     0.00  CL_CheckUserinfo
  0.01   1436.70     0.19   892288     0.00     0.00  S_AL_Update
  0.01   1436.89     0.19   115645     0.00     0.00  Com_sprintf
  0.01   1437.08     0.19 25750476     0.00     0.00  EmitString
  0.01   1437.27     0.19     4005     0.00     0.00  Cvar_Register
  0.01   1437.46     0.19       16     0.01     0.01  COM_Compress
  0.01   1437.64     0.18 376071771     0.00     0.00  CM_ClipHandleToModel
  0.01   1437.82     0.18  3160025     0.00     0.00  FS_FOpenFileReadDir
  0.01   1438.00     0.18   133918     0.00     0.00  CL_ParsePacketEntities
  0.01   1438.18     0.18    43660     0.00     0.00  inflate
  0.01   1438.35     0.17   133781     0.00     0.00  CL_AdjustTimeDelta
  0.01   1438.52     0.17    31548     0.00     0.00  IN_TranslateSDLToQ3Key
  0.01   1438.69     0.17        2     0.09     0.09  VM_Forced_Unload_Done
  0.01   1438.86     0.17 557975001     0.00     0.00  NET_Sleep
  0.01   1439.03     0.17  6006788     0.00     0.00  AutospriteDeform
  0.01   1439.20     0.17   162255     0.00     0.00  ycc_rgb_convert
  0.01   1439.37     0.17 115800848     0.00     0.00  GL_SelectTexture
  0.01   1439.53     0.17    43746     0.00     0.00  Cbuf_AddText
  0.01   1439.69     0.16  3541125     0.00     0.00  R_RenderView
  0.01   1439.85     0.16   892289     0.00     0.00  IN_Frame
  0.01   1440.01     0.16 58198346     0.00     0.00  CL_GetUserCmd
  0.01   1440.16     0.15 24347096     0.00     0.00  Distance
  0.01   1440.31     0.15 18837644     0.00     0.00  CM_PointContents
  0.01   1440.45     0.15                             Com_RunAndTimeServerPacket
  0.01   1440.60     0.15   892306     0.00     0.00  CL_VideoRecording
  0.01   1440.74     0.15                             CL_CloseAVI
  0.01   1440.88     0.14   892287     0.00     0.00  CL_CaptureVoip
  0.01   1441.02     0.14  2107011     0.00     0.00  increment
  0.01   1441.16     0.14                             Sys_DefaultAppPath
  0.01   1441.29     0.13 29842524     0.00     0.00  CM_TraceThroughPatch
  0.01   1441.42     0.13 11936604     0.00     0.00  S_AL_SrcLoop
  0.01   1441.55     0.13    22033     0.00     0.00  CL_KeyUpEvent
  0.01   1441.68     0.13     1544     0.00     0.00  R_LoadMD3
  0.01   1441.81     0.13 115356530     0.00     0.00  CM_BoundsIntersectPoint
  0.01   1441.94     0.13   540546     0.00     0.00  CM_PositionTestInPatchCollide
  0.01   1442.06     0.13 96274838     0.00     0.00  Emit1
  0.01   1442.18     0.12 10340804     0.00     0.00  RB_CalcStretchTexCoords
  0.01   1442.30     0.12    74597     0.00     0.00  MSG_WriteString
  0.01   1442.42     0.12                             MSG_WriteChar
  0.01   1442.54     0.12 57389433     0.00     0.00  S_AL_UpdateEntityPosition
  0.01   1442.66     0.12  9577685     0.00     0.00  CL_DeltaEntity
  0.01   1442.78     0.12  1017722     0.00     0.00  RB_StageIteratorSky
  0.01   1442.89     0.11     1449     0.00     0.00  CL_GameCommand
  0.01   1443.00     0.11                             RB_CalcDynamicColor
  0.01   1443.11     0.11 51787440     0.00     0.00  unzlocal_getByte
  0.01   1443.22     0.11 38598529     0.00     0.00  GL_TexEnv
  0.01   1443.32     0.11  1782859     0.00     0.00  CL_CheckPaused
  0.01   1443.43     0.11                             Cmd_CompleteArgument
  0.01   1443.53     0.10 12013576     0.00     0.00  GlobalVectorToLocal
  0.01   1443.63     0.10    44032     0.00     0.00  CL_KeyEvent
  0.01   1443.73     0.10       28     0.00     0.03  VM_Compile
  0.01   1443.82     0.10        3     0.03     0.03  CL_InitInput
  0.01   1443.91     0.09 14229594     0.00     0.00  get_ppnode
  0.01   1444.00     0.09 34004910     0.00     0.00  TableForFunc
  0.01   1444.09     0.09   892731     0.00     0.00  RB_SwapBuffers
  0.01   1444.18     0.09                             R_GetAnimTag
  0.01   1444.27     0.09   702369     0.00     0.00  mdfour64
  0.01   1444.36     0.09 51784870     0.00     0.00  RB_SurfaceEntity
  0.01   1444.44     0.09   892288     0.00     0.00  S_Update
  0.01   1444.52     0.08 213120177     0.00     0.00  CM_TestBoxInBrush
  0.01   1444.60     0.08 51784870     0.00     0.00  R_SpriteFogNum
  0.01   1444.68     0.08  6789256     0.00     0.00  Key_GetCatcher
  0.01   1444.76     0.08  2206002     0.00     0.00  ConstOptimize
  0.01   1444.84     0.08   887619     0.00     0.00  Con_DrawNotify
  0.01   1444.92     0.08      160     0.00     0.00  Cbuf_ExecuteText
  0.01   1444.99     0.08        1     0.08     0.08  Cbuf_Init
  0.00   1445.06     0.07   874353     0.00     0.00  MSG_InitOOB
  0.00   1445.13     0.07   680711     0.00     0.00  Com_QueueEvent
  0.00   1445.20     0.07   134391     0.00     0.00  CL_PacketEvent
  0.00   1445.27     0.07    21990     0.00     0.00  RE_RegisterShaderNoMip
  0.00   1445.34     0.07        3     0.02     0.02  SCR_Init
  0.00   1445.41     0.07                             CL_MotdPacket
  0.00   1445.48     0.07 23624182     0.00     0.00  Q_stricmp
  0.00   1445.55     0.07  3541125     0.00     0.00  R_RotateForViewer
  0.00   1445.62     0.07   266586     0.00     0.00  generateHashValue
  0.00   1445.69     0.07   133918     0.00     0.00  MSG_ReadDeltaPlayerstate
  0.00   1445.76     0.07    21999     0.00     0.00  CL_KeyDownEvent
  0.00   1445.83     0.07   892731     0.00     0.00  Con_DrawConsole
  0.00   1445.89     0.07  4674616     0.00     0.00  R_CullTriSurf
  0.00   1445.96     0.07                             _curl_easy_setopt_err_long
  0.00   1446.02     0.07 1115950002     0.00     0.00  Com_TimeVal
  0.00   1446.08     0.06 10602797     0.00     0.00  MSG_ReadByte
  0.00   1446.14     0.06 228232408     0.00     0.00  CM_InlineModel
  0.00   1446.20     0.06  3541125     0.00     0.00  R_SetupProjectionZ
  0.00   1446.26     0.06   591664     0.00     0.00  CL_MouseEvent
  0.00   1446.32     0.06       79     0.00     0.00  Key_ClearStates
  0.00   1446.38     0.06       28     0.00     0.00  IN_GobbleMotionEvents
  0.00   1446.44     0.06       16     0.00     0.00  R_InitDLight
  0.00   1446.50     0.06                             RB_FogPass
  0.00   1446.56     0.06                             R_TransformClipToWindow
  0.00   1446.62     0.06 52379514     0.00     0.00  fread_file_func
  0.00   1446.68     0.06   892731     0.00     0.00  R_IssueRenderCommands
  0.00   1446.74     0.06   892257     0.00     0.00  IN_ActivateMouse
  0.00   1446.80     0.06   889323     0.00     0.00  SCR_DrawVoipMeter
  0.00   1446.86     0.06   133918     0.00     0.00  CL_ParseSnapshot
  0.00   1446.92     0.06    20655     0.00     0.00  IN_KeyDown
  0.00   1446.98     0.06     5447     0.00     0.00  CL_SetServerInfoByAddress
  0.00   1447.04     0.06  2653011     0.00     0.00  R_ModelBounds
  0.00   1447.09     0.06  1324353     0.00     0.00  Q_strncpyz
  0.00   1447.15     0.06                             Com_PushEvent
  0.00   1447.20     0.05   892287     0.00     0.00  CL_UpdateMumble
  0.00   1447.25     0.05   890265     0.00     0.00  VM_Debug
  0.00   1447.30     0.05     2078     0.00     0.00  R_IssuePendingRenderCommands
  0.00   1447.35     0.05                             R_DrawStripElements
  0.00   1447.40     0.05 14228578     0.00     0.00  free_ppnode
  0.00   1447.45     0.05  5922420     0.00     0.00  _vmf
  0.00   1447.50     0.05  3541125     0.00     0.00  R_AddWorldSurfaces
  0.00   1447.55     0.05   892747     0.00     0.00  GLimp_EndFrame
  0.00   1447.60     0.05    70192     0.00     0.00  Cmd_TokenizeString
  0.00   1447.65     0.05    63926     0.00     0.00  Info_ValueForKey
  0.00   1447.70     0.05    34992     0.00     0.00  Cvar_FindVar
  0.00   1447.74     0.05 57389433     0.00     0.00  S_UpdateEntityPosition
  0.00   1447.79     0.05   272647     0.00     0.00  R_DlightBmodel
  0.00   1447.83     0.05        1     0.05     0.05  ColorBytes4
  0.00   1447.87     0.04  6419428     0.00     0.00  R_ColorShiftLightingBytes
  0.00   1447.91     0.04  6413062     0.00     0.00  EvalWaveFormClamped
  0.00   1447.95     0.04  5327441     0.00     0.00  S_AL_Gain
  0.00   1447.99     0.04  4017744     0.00     0.00  GetNoiseValue
  0.00   1448.03     0.04  2184892     0.00     0.00  RB_CalcColorFromEntity
  0.00   1448.07     0.04  1204756     0.00     0.00  CL_UISystemCalls
  0.00   1448.11     0.04  1115420     0.00     0.00  unzlocal_GetCurrentFileInfoInternal
  0.00   1448.15     0.04   999015     0.00     0.00  Cmd_Argv
  0.00   1448.19     0.04   702369     0.00     0.00  copy64
  0.00   1448.23     0.04   251109     0.00     0.00  R_NoiseGet4f
  0.00   1448.27     0.04   200158     0.00     0.00  DoRailCore
  0.00   1448.31     0.04   134260     0.00     0.00  NET_Event
  0.00   1448.35     0.04    20685     0.00     0.00  IN_KeyUp
  0.00   1448.39     0.04    14202     0.00     0.00  decompress_onepass
  0.00   1448.43     0.04     6203     0.00     0.00  FindShaderInShaderText
  0.00   1448.47     0.04       19     0.00     0.00  S_AL_StopAllSounds
  0.00   1448.51     0.04        3     0.01     0.02  S_StopAllSounds
  0.00   1448.55     0.04                             Autosprite2Deform
  0.00   1448.59     0.04                             Huff_Receive
  0.00   1448.63     0.04                             NET_QueuePacket
  0.00   1448.67     0.04                             RB_CalcAlphaFromOneMinusEntity
  0.00   1448.71     0.04                             RB_StageIteratorLightmappedMultitexture
  0.00   1448.75     0.04                             R_LocalNormalToWorld
  0.00   1448.79     0.04                             R_MDRComputeFogNum
  0.00   1448.83     0.04                             R_MirrorViewBySurface
  0.00   1448.87     0.04                             Sys_GetClipboardData
  0.00   1448.91     0.04                             VectorCompare
  0.00   1448.95     0.04                             _curl_easy_getinfo_err_curl_off_t
  0.00   1448.99     0.04  3543532     0.00     0.00  RE_ClearScene
  0.00   1449.02     0.04   892289     0.00     0.00  Com_WriteConfiguration
  0.00   1449.06     0.04                             CL_CDDialog
  0.00   1449.09     0.03 10123920     0.00     0.00  unzlocal_getShort
  0.00   1449.12     0.03  4971536     0.00     0.00  jpeg_fill_bit_buffer
  0.00   1449.15     0.03  1802487     0.00     0.00  FS_FilenameCompare
  0.00   1449.18     0.03  1693664     0.00     0.00  SCR_DrawSmallChar
  0.00   1449.21     0.03  1017722     0.00     0.00  R_BuildCloudData
  0.00   1449.24     0.03   892288     0.00     0.00  S_AL_MusicUpdate
  0.00   1449.27     0.03   892287     0.00     0.00  Com_ReadFromPipe
  0.00   1449.30     0.03   493768     0.00     0.00  DoLightningCore
  0.00   1449.33     0.03   300123     0.00     0.00  RB_SurfaceRailRings
  0.00   1449.36     0.03    82565     0.00     0.00  MSG_ReadString
  0.00   1449.39     0.03    67008     0.00     0.00  jpeg_idct_16x8
  0.00   1449.42     0.03    19002     0.00     0.00  Q_strncmp
  0.00   1449.45     0.03    17963     0.00     0.00  CL_ConsolePrint
  0.00   1449.48     0.03    14743     0.00     0.00  R_ClusterPVS
  0.00   1449.51     0.03     1031     0.00     0.00  NET_ErrorString
  0.00   1449.54     0.03      408     0.00     0.00  CIN_DrawCinematic
  0.00   1449.57     0.03       33     0.00     0.00  CL_ShutdownCGame
  0.00   1449.60     0.03                             IN_CenterView
  0.00   1449.63     0.03                             NET_Restart_f
  0.00   1449.66     0.03                             PerpendicularVector
  0.00   1449.69     0.03                             RB_CalcEnvironmentCelShadeTexCoords
  0.00   1449.71     0.03   889323     0.00     0.00  SCR_DrawDemoRecording
  0.00   1449.74     0.03                             SCR_GetBigStringWidth
  0.00   1449.76     0.03 232755952     0.00     0.00  CM_BoxTrace
  0.00   1449.79     0.03  3541125     0.00     0.00  R_DebugGraphics
  0.00   1449.81     0.03   275118     0.00     0.00  S_AL_StartSound
  0.00   1449.84     0.03     6451     0.00     0.00  RE_AddPolyToScene
  0.00   1449.86     0.03                             RB_SurfaceAxis
